国家/地区代码,物料,门店标识,物料描述,物料分类,一级分类,二级分类,标记,备注
CA,1000049,,金标生抽（海天，4.9L*2桶/件）,1,成本-小料台类,,6月新增,
CA,1000052,,韩式辣椒酱（14KG/件）,1,成本-小料台类,小料台类,2309新增,
CA,1000063,,滑类挤袋（280*165MM，200根*50把/件）,2,物料消耗,其他类,,
CA,1000096,,辣椒酱（辣妹子，920G*12瓶/件）,1,成本-小料台类,,,
CA,1000098,,老抽（海天，4.9L*2桶/件）,1,成本-小料台类,,6月新增,
CA,1000103,,大块腐乳（王致和，340G*15瓶/件）,1,成本-小料台类,小料台,10月新增,
CA,1000106,,毛肚/牛百叶（冻，黄牛）,1,成本-荤菜类,,,
CA,1000132,,沙茶酱（牛头，3KG*6瓶/件）,1,成本-小料台类,,6月新增,
CA,1000233,,甜面酱（散装，4KG*4包/件）,1,成本-小料台类,,6月新增,
CA,1000529,,去皮五花肉,1,成本-小吃类,,6月新增,240911更新
CA,1001049,,甜面酱（六月香，800G*12瓶/件）,1,成本-小料台类,,7月新增,
CA,1001170,,墨鱼仔（越南，12KG/件）,1,成本-荤菜类,,,
CA,1001268,,辣椒酱（辣妹子，248G*24瓶/件）,1,成本-小料台类,,,
CA,1001413,,卤水汁（李锦记，410ML*12瓶/件）,1,成本-荤菜类,,,
CA,1003028,,牛油（20KG/件）,1,成本-锅底类,,6月新增,
CA,1004576,,虎牙脆（20G*230包/件）,1,成本-小料台类,,6月新增,
CA,1012802,,去皮花生米（2KG/包）,1,成本-小料台类,小料台类,2309新增,
CA,1500009,,蚝油（李锦记，2.2KG*6桶/件）,1,成本-小料台类,,,
CA,1500032,,韭菜花（六必居，300G*20瓶/件）,1,成本-小料台类,,,
CA,1500058,,菌粉TLTF-19（10KG*2包/件）,1,成本-锅底类,,,
CA,1500059,,三鲜粉TLTF-20（10KG*2包/件）,1,成本-锅底类,,,
CA,1500091,,带皮猪五花肉（冻，加拿大）,2,员工餐,,,
CA,1500352,,金标生抽（海天，1.75L*6桶/件）,1,成本-小料台类,,,
CA,1500381,,金针菇（200G*30袋/件）,1,成本-素菜类,素菜,10月新增,
CA,1500383,,土豆（10KG/件）,1,成本-素菜类,素菜,9月新增,
CA,1500387,,香菇（5KG/件）,1,成本-素菜类,素菜,10月新增,
CA,1500529,,果糖（环泰，5KG*4桶/件）,1,成本-酒水类,饮料,,
CA,1500612,,花椒油（川老汇，1.8L*6包/件）,1,成本-小料台类,,,
CA,1500674,,无骨牛小排（A5和牛）,1,成本-荤菜类,,,
CA,1500675,,西冷牛肉（带肥）,1,成本-荤菜类,,,
CA,1500676,,牛仔骨肉（去骨）,1,成本-荤菜类,,,
CA,1500677,,牛腩肉（LB）,1,成本-荤菜类,,,
CA,1500678,,牛霖肉（LB）,1,成本-小料台类,,,2501更新
CA,1500679,,羊肉卷（LB）,1,成本-荤菜类,,,
CA,1500680,,带皮去骨鸡腿肉（LB）,1,成本-荤菜类,,,
CA,1500681,,去皮五花肉（LB）,1,成本-小吃类,,,240911更新
CA,1500682,,梅花猪肉（LB）,1,成本-荤菜类,,,
CA,1500683,,猪脑（澳洲，个）,1,成本-荤菜类,,,
CA,1500684,,毛肚（LB）,1,成本-荤菜类,,,
CA,1500685,,牛黄喉（LB）,1,成本-荤菜类,,,
CA,1500686,,牛舌（LB）,1,成本-荤菜类,,,
CA,1500687,,猪棒骨（LB）,1,成本-锅底类,,,
CA,1500688,,带皮带骨鸡腿（冻）,1,成本-荤菜类,,,
CA,1500689,,走地鸡（冻）,2,员工餐,,,
CA,1500690,,走地鸡（鲜）,1,成本-锅底类,,,
CA,1500691,,鸭血（华生，300G*16盒/箱）,1,成本-荤菜类,,,
CA,1500692,,滑嫩血豆腐（300G*20盒/箱）,1,成本-荤菜类,,,
CA,1500694,,猪排骨（员工餐， LB）,2,员工餐,,,
CA,1500695,,白虾仁（41-50，4LB*6包/箱 ）,2,员工餐,,,
CA,1500696,,白虾仁（40-60，4LB*6包/箱 ）,2,员工餐,,,
