区域,门店,物料号码,物料描述,大类,分类,物料描述（通用）,一级分类,二级分类,对应菜品编码,对应菜品名称,备注
CA,,1000049,金标生抽（海天，4.9L*2桶/件）,成本类,成本-其他类,其他,,,12010001,自选小料,
CA,,1000096,辣椒酱（辣妹子，920G*12瓶/件）,成本类,成本-其他类,小料台,,,12010001,自选小料,
CA,,1000132,沙茶酱（牛头，3KG*6瓶/件）,成本类,成本-其他类,小料台,,,12010001,自选小料,
CA,,1001268,辣椒酱（辣妹子，248G*24瓶/件）,成本类,成本-其他类,小料台,,,12010001,自选小料,
CA,,1001413,卤水汁（李锦记，410ML*12瓶/件）,成本类,成本-其他类,其他,,,12010001,自选小料,
CA,,1004576,虎牙脆（20G*230包/件）,成本类,成本-其他类,小吃,,,12010001,自选小料,
CA,,1500009,蚝油（李锦记，2.2KG*6桶/件）,成本类,成本-其他类,小料台,,,12010001,自选小料,
CA,,1500032,韭菜花（六必居，300G*20瓶/件）,成本类,成本-其他类,小料台,,,12010001,自选小料,
CA,,1500058,菌粉TLTF-19（10KG*2包/件）,成本类,成本-锅底类,锅底,,,12010001,自选小料,
CA,,1500059,三鲜粉TLTF-20（10KG*2包/件）,成本类,成本-锅底类,锅底,,,12010001,自选小料,
CA,,1500352,金标生抽（海天，1.75L*6桶/件）,成本类,成本-其他类,其他,,,12010001,自选小料,
CA,,1500612,花椒油（川老汇，1.8L*6包/件）,成本类,成本-其他类,小料台,,,12010001,自选小料,
CA,,1500674,无骨牛小排（A5和牛）,成本类,成本-荤菜类,荤菜,,,09010227,特选肩胛牛小排,
CA,,1500675,西冷牛肉（带肥）,成本类,成本-荤菜类,荤菜,,,09010185,美国特选肥牛,
CA,,1500676,牛仔骨肉（去骨）,成本类,成本-荤菜类,荤菜,,,09010019,精品肥牛,
CA,,1500677,牛腩肉（LB）,成本类,成本-荤菜类,荤菜,,,09020243,芝士牛肉丸,
CA,,1500678,牛霖肉（LB）,成本类,成本-荤菜类,荤菜,,,09010325,手切牛板腱,
CA,,1500679,羊肉卷（LB）,成本类,成本-荤菜类,荤菜,,,09010009,草原羔羊肉,
CA,,1500680,带皮去骨鸡腿肉（LB）,成本类,成本-荤菜类,荤菜,,,09050029,孜然鸡丁,
CA,,1500681,去皮五花肉（LB）,成本类,成本-荤菜类,荤菜,,,09020071,自制贡丸,
CA,,1500682,梅花猪肉（LB）,成本类,成本-荤菜类,荤菜,,,09040373,梅花肉,
CA,,1500683,猪脑（澳洲，个）,成本类,成本-荤菜类,荤菜,,,09040045,猪脑花（份）,
CA,,1500684,毛肚（LB）,成本类,成本-荤菜类,荤菜,,,09040417,猪肚,
CA,,1500685,牛黄喉（LB）,成本类,成本-荤菜类,荤菜,,,03010019,捞派黄喉,
CA,,1500686,牛舌（LB）,成本类,成本-荤菜类,荤菜,,,09010298,纽西兰牛舌,
CA,,1500687,猪棒骨（LB）,成本类,成本-锅底类,锅底,,,01060062,猪骨汤,
CA,,1500688,带皮带骨鸡腿（冻）,成本类,成本-荤菜类,荤菜,,,09050029,孜然鸡丁,
CA,,1500689,走地鸡（冻）,成本类,成本-荤菜类,荤菜,,,01060115,胡椒猪肚鸡火锅,
CA,,1500690,走地鸡（鲜）,成本类,成本-荤菜类,荤菜,,,01060115,胡椒猪肚鸡火锅,
